LSOA Code,LSOA Name,Total samples,Number of exceedances,Exceedance rate (failures/total samples),Latitude,Longitude
E01027016,West Northamptonshire 005C,3,0,0.0,52.32373,-1.1145
E01027017,West Northamptonshire 027B,3,0,0.0,52.30166,-1.0517
E01027018,West Northamptonshire 003A,9,0,0.0,52.29414,-0.82949
E01027019,West Northamptonshire 003B,2,0,0.0,52.29957,-0.86821
E01027020,West Northamptonshire 003C,5,0,0.0,52.28453,-0.84982
E01027021,West Northamptonshire 005D,2,0,0.0,52.31874,-1.00701
E01027022,West Northamptonshire 002E,9,0,0.0,52.34356,-0.95402
E01027023,West Northamptonshire 003D,7,0,0.0,52.34052,-0.82466
E01027024,West Northamptonshire 027C,6,0,0.0,52.21621,-1.08597
E01027284,West Northamptonshire 046C,5,0,0.0,52.13254,-0.88456
E01027271,West Northamptonshire 051C,7,0,0.0,52.04709,-1.16412
E01027272,West Northamptonshire 051D,2,0,0.0,52.03695,-1.1508
E01027273,West Northamptonshire 043A,5,0,0.0,52.21665,-0.82244
E01027274,West Northamptonshire 043B,3,0,0.0,52.17711,-0.80711
E01027275,West Northamptonshire 043C,5,0,0.0,52.23332,-0.77046
E01027277,West Northamptonshire 045B,4,0,0.0,52.17635,-1.00947
E01027279,West Northamptonshire 046B,4,0,0.0,52.16197,-0.90305
E01027280,West Northamptonshire 050A,7,0,0.0,52.04859,-0.90034
E01027281,West Northamptonshire 050B,1,0,0.0,52.05435,-0.8999
E01027282,West Northamptonshire 040A,3,0,0.0,52.21073,-0.9946
E01027283,West Northamptonshire 040B,4,0,0.0,52.1967,-0.98561
E01027270,West Northamptonshire 051B,4,0,0.0,52.04101,-1.15813
E01027285,West Northamptonshire 040C,4,0,0.0,52.21518,-0.97247
E01027286,West Northamptonshire 040D,4,0,0.0,52.24349,-0.98918
E01027287,West Northamptonshire 040E,2,0,0.0,52.22397,-1.03584
E01027288,West Northamptonshire 052A,4,0,0.0,52.02593,-1.26616
E01027289,West Northamptonshire 045C,3,0,0.0,52.14004,-1.03108
E01027290,West Northamptonshire 052B,5,0,0.0,52.00069,-1.19246
E01027292,West Northamptonshire 048B,5,0,0.0,52.07313,-1.26965
E01027293,West Northamptonshire 048C,4,0,0.0,52.07761,-1.25831
E01027294,West Northamptonshire 046D,5,0,0.0,52.14393,-0.841
E01027295,West Northamptonshire 049B,5,0,0.0,52.08852,-1.02789
E01027257,West Northamptonshire 034C,4,0,0.0,52.23708,-0.86755
E01027245,West Northamptonshire 011B,5,0,0.0,52.27695,-0.83099
E01027246,West Northamptonshire 009E,5,0,0.0,52.27268,-0.82151
E01027247,West Northamptonshire 011C,8,0,0.0,52.27224,-0.83161
E01027248,West Northamptonshire 011D,4,0,0.0,52.2758,-0.83962
E01027249,West Northamptonshire 011E,3,0,0.0,52.27101,-0.83553
E01027250,West Northamptonshire 039A,4,0,0.0,52.21004,-0.92125
E01027252,West Northamptonshire 036D,5,0,0.0,52.22153,-0.92568
E01027253,West Northamptonshire 039B,8,0,0.0,52.216,-0.92494
E01027254,West Northamptonshire 039C,6,0,0.0,52.21638,-0.94412
E01027255,West Northamptonshire 029A,4,0,0.0,52.24432,-0.84986
E01027256,West Northamptonshire 029B,5,0,0.0,52.24619,-0.86049
E01027296,West Northamptonshire 052C,5,0,0.0,52.04429,-1.20142
E01027258,West Northamptonshire 029C,1,0,0.0,52.23803,-0.85306
E01027259,West Northamptonshire 024E,3,0,0.0,52.25266,-0.83149
E01027260,West Northamptonshire 029D,4,0,0.0,52.24779,-0.84317
E01027261,West Northamptonshire 049A,3,0,0.0,52.07104,-1.09311
E01027262,West Northamptonshire 045A,1,0,0.0,52.15146,-1.09036
E01027263,West Northamptonshire 046A,6,0,0.0,52.1776,-0.93838
E01027264,West Northamptonshire 053A,4,0,0.0,52.02672,-1.14169
E01027265,West Northamptonshire 051A,4,0,0.0,52.03313,-1.13698
E01027267,West Northamptonshire 053B,8,0,0.0,52.03214,-1.14994
E01027268,West Northamptonshire 053C,5,0,0.0,52.02998,-1.15777
E01027333,North Northamptonshire 028D,10,0,0.0,52.32091,-0.70154
E01027322,North Northamptonshire 038A,5,0,0.0,52.27231,-0.7421
E01027323,North Northamptonshire 038B,4,0,0.0,52.26797,-0.7621
E01027324,North Northamptonshire 038C,2,0,0.0,52.2587,-0.7334
E01027325,North Northamptonshire 038D,4,0,0.0,52.25324,-0.74844
E01027326,North Northamptonshire 026A,5,0,0.0,52.32846,-0.66212
E01027327,North Northamptonshire 026B,5,0,0.0,52.34837,-0.64019
E01027328,North Northamptonshire 026C,3,0,0.0,52.34265,-0.64757
E01027329,North Northamptonshire 038E,10,0,0.0,52.2794,-0.71151
E01027330,North Northamptonshire 028A,4,0,0.0,52.31427,-0.68077
E01027331,North Northamptonshire 028B,3,0,0.0,52.31417,-0.69207
E01027332,North Northamptonshire 028C,4,0,0.0,52.30973,-0.69619
E01027321,North Northamptonshire 036E,1,0,0.0,52.28678,-0.7084
E01027334,North Northamptonshire 028E,5,0,0.0,52.32158,-0.68601
E01027335,North Northamptonshire 040A,4,0,0.0,52.27543,-0.65979
E01027336,North Northamptonshire 040B,4,0,0.0,52.29025,-0.6504
E01027337,North Northamptonshire 040C,3,0,0.0,52.27891,-0.6341
E01027338,North Northamptonshire 026D,6,0,0.0,52.33675,-0.73351
E01027339,North Northamptonshire 031A,4,0,0.0,52.30544,-0.74309
E01027340,North Northamptonshire 031B,2,0,0.0,52.29981,-0.72202
E01027341,North Northamptonshire 031C,1,0,0.0,52.29976,-0.72728
E01027342,North Northamptonshire 031D,3,0,0.0,52.30626,-0.72033
E01027343,North Northamptonshire 029A,3,0,0.0,52.31136,-0.70749
E01027309,North Northamptonshire 033A,2,0,0.0,52.2957,-0.71732
E01027297,West Northamptonshire 047A,6,0,0.0,52.1254,-0.93914
E01027298,West Northamptonshire 047B,8,0,0.0,52.11563,-0.98994
E01027299,West Northamptonshire 047C,4,0,0.0,52.12661,-0.99159
E01027301,West Northamptonshire 047D,7,0,0.0,52.13756,-0.98958
E01027302,West Northamptonshire 047E,8,0,0.0,52.12685,-0.98655
