recorddate,ETP_DailyInfluent_ML,WTP_DailyInfluent_ML,ObjectId
12/12/1995 1:00:00 PM,381,512,347
12/13/1995 1:00:00 PM,365,491,348
12/14/1995 1:00:00 PM,362,478,349
12/15/1995 1:00:00 PM,372,490,350
12/16/1995 1:00:00 PM,364,457,351
12/17/1995 1:00:00 PM,346,394,352
12/18/1995 1:00:00 PM,374,477,353
12/19/1995 1:00:00 PM,423,499,354
12/20/1995 1:00:00 PM,535,590,355
12/21/1995 1:00:00 PM,416,494,356
12/22/1995 1:00:00 PM,383,452,357
12/23/1995 1:00:00 PM,363,423,358
12/24/1995 1:00:00 PM,338,393,359
12/25/1995 1:00:00 PM,294,347,360
12/26/1995 1:00:00 PM,320,380,361
12/27/1995 1:00:00 PM,327,402,362
12/28/1995 1:00:00 PM,311,399,363
12/29/1995 1:00:00 PM,312,402,364
12/30/1995 1:00:00 PM,308,384,365
12/31/1995 1:00:00 PM,397,553,366
1/1/1996 1:00:00 PM,655,913,367
1/2/1996 1:00:00 PM,499,626,368
1/3/1996 1:00:00 PM,458,647,369
1/4/1996 1:00:00 PM,373,483,370
1/5/1996 1:00:00 PM,351,457,371
1/6/1996 1:00:00 PM,347,429,372
1/7/1996 1:00:00 PM,314,403,373
1/8/1996 1:00:00 PM,341,447,374
1/9/1996 1:00:00 PM,326,445,375
1/10/1996 1:00:00 PM,329,455,376
1/11/1996 1:00:00 PM,325,453,377
1/12/1996 1:00:00 PM,326,452,378
1/13/1996 1:00:00 PM,332,429,379
1/14/1996 1:00:00 PM,318,409,380
1/15/1996 1:00:00 PM,326,463,381
1/16/1996 1:00:00 PM,310,468,382
1/17/1996 1:00:00 PM,345,446,383
1/18/1996 1:00:00 PM,346,444,384
1/19/1996 1:00:00 PM,360,462,385
1/20/1996 1:00:00 PM,402,455,386
1/21/1996 1:00:00 PM,333,400,387
1/22/1996 1:00:00 PM,333,478,388
1/23/1996 1:00:00 PM,344,482,389
1/24/1996 1:00:00 PM,405,568,390
1/25/1996 1:00:00 PM,340,481,391
1/26/1996 1:00:00 PM,325,431,392
1/27/1996 1:00:00 PM,304,405,393
1/28/1996 1:00:00 PM,313,406,394
1/29/1996 1:00:00 PM,339,479,395
1/30/1996 1:00:00 PM,339,492,396
1/31/1996 1:00:00 PM,328,485,397
2/1/1996 1:00:00 PM,328,490,398
2/2/1996 1:00:00 PM,332,486,399
2/3/1996 1:00:00 PM,345,457,400
11/30/1996 1:00:00 PM,373,465,401
12/1/1996 1:00:00 PM,379,485,402
12/2/1996 1:00:00 PM,368,520,403
12/3/1996 1:00:00 PM,364,500,404
12/4/1996 1:00:00 PM,355,498,405
12/5/1996 1:00:00 PM,361,499,406
12/6/1996 1:00:00 PM,355,495,407
12/7/1996 1:00:00 PM,399,473,408
12/8/1996 1:00:00 PM,357,434,409
12/9/1996 1:00:00 PM,377,480,410
12/10/1996 1:00:00 PM,352,494,411
12/11/1996 1:00:00 PM,359,494,412
12/12/1996 1:00:00 PM,358,495,413
10/11/1996 2:00:00 PM,401,508,414
12/13/1996 1:00:00 PM,368,503,415
12/14/1996 1:00:00 PM,377,488,416
12/15/1996 1:00:00 PM,335,446,417
10/12/1996 2:00:00 PM,416,478,418
12/16/1996 1:00:00 PM,341,481,419
10/13/1996 2:00:00 PM,367,437,420
12/17/1996 1:00:00 PM,361,503,421
7/3/1996 2:00:00 PM,471,495,422
10/14/1996 2:00:00 PM,414,479,423
12/18/1996 1:00:00 PM,361,496,424
7/4/1996 2:00:00 PM,459,474,425
10/15/1996 2:00:00 PM,427,506,426
12/19/1996 1:00:00 PM,347,494,427
7/5/1996 2:00:00 PM,467,498,428
10/16/1996 2:00:00 PM,372,497,429
12/20/1996 1:00:00 PM,377,505,430
7/6/1996 2:00:00 PM,525,485,431
10/17/1996 2:00:00 PM,372,496,432
12/21/1996 1:00:00 PM,375,483,433
7/7/1996 2:00:00 PM,502,438,434
10/18/1996 2:00:00 PM,360,499,435
12/22/1996 1:00:00 PM,323,434,436
7/8/1996 2:00:00 PM,458,492,437
10/19/1996 2:00:00 PM,409,515,438
12/23/1996 1:00:00 PM,341,448,439
7/9/1996 2:00:00 PM,429,487,440
10/20/1996 2:00:00 PM,364,467,441
12/24/1996 1:00:00 PM,348,454,442
7/10/1996 2:00:00 PM,436,476,443
10/21/1996 2:00:00 PM,382,486,444
12/25/1996 1:00:00 PM,313,395,445
7/11/1996 2:00:00 PM,408,470,446
10/22/1996 2:00:00 PM,410,475,447
12/26/1996 1:00:00 PM,305,377,448
7/12/1996 2:00:00 PM,425,485,449
10/23/1996 2:00:00 PM,398,500,450
12/27/1996 1:00:00 PM,312,405,451
7/13/1996 2:00:00 PM,438,461,452
10/24/1996 2:00:00 PM,376,519,453
12/28/1996 1:00:00 PM,305,402,454
7/14/1996 2:00:00 PM,401,451,455
10/25/1996 2:00:00 PM,343,509,456
12/29/1996 1:00:00 PM,293,383,457
7/15/1996 2:00:00 PM,457,553,458
10/26/1996 2:00:00 PM,352,487,459
12/30/1996 1:00:00 PM,300,413,460
7/16/1996 2:00:00 PM,417,545,461
10/27/1996 1:00:00 PM,320,419,462
12/31/1996 1:00:00 PM,302,417,463
7/17/1996 2:00:00 PM,432,553,464
10/28/1996 1:00:00 PM,354,480,465
1/1/1997 1:00:00 PM,282,386,466
7/18/1996 2:00:00 PM,437,527,467
10/29/1996 1:00:00 PM,346,509,468
1/2/1997 1:00:00 PM,302,414,469
7/19/1996 2:00:00 PM,466,557,470
10/30/1996 1:00:00 PM,345,518,471
1/3/1997 1:00:00 PM,309,437,472
7/20/1996 2:00:00 PM,532,482,473
10/31/1996 1:00:00 PM,353,514,474
1/4/1997 1:00:00 PM,308,421,475
7/21/1996 2:00:00 PM,461,448,476
11/1/1996 1:00:00 PM,354,524,477
1/5/1997 1:00:00 PM,293,403,478
7/22/1996 2:00:00 PM,437,497,479
11/2/1996 1:00:00 PM,362,500,480
1/6/1997 1:00:00 PM,312,445,481
7/23/1996 2:00:00 PM,443,505,482
11/3/1996 1:00:00 PM,509,588,483
1/7/1997 1:00:00 PM,347,449,484
7/24/1996 2:00:00 PM,443,504,485
11/4/1996 1:00:00 PM,460,548,486
1/8/1997 1:00:00 PM,314,439,487
7/25/1996 2:00:00 PM,431,489,488
11/5/1996 1:00:00 PM,349,449,489
1/9/1997 1:00:00 PM,318,446,490
7/26/1996 2:00:00 PM,402,469,491
11/6/1996 1:00:00 PM,356,493,492
1/10/1997 1:00:00 PM,318,449,493
7/27/1996 2:00:00 PM,409,459,494
11/7/1996 1:00:00 PM,355,507,495
1/11/1997 1:00:00 PM,326,436,496
7/28/1996 2:00:00 PM,400,454,497
11/8/1996 1:00:00 PM,368,519,498
1/12/1997 1:00:00 PM,303,406,499
7/29/1996 2:00:00 PM,1377,952,500
11/9/1996 1:00:00 PM,373,486,501
1/13/1997 1:00:00 PM,322,449,502
7/30/1996 2:00:00 PM,1324,902,503
11/10/1996 1:00:00 PM,351,455,504
1/14/1997 1:00:00 PM,326,468,505
7/31/1996 2:00:00 PM,691,594,506
11/11/1996 1:00:00 PM,356,488,507
1/15/1997 1:00:00 PM,319,465,508
8/1/1996 2:00:00 PM,536,565,509
11/12/1996 1:00:00 PM,363,506,510
1/16/1997 1:00:00 PM,314,466,511
8/2/1996 2:00:00 PM,503,542,512
11/13/1996 1:00:00 PM,357,508,513
1/17/1997 1:00:00 PM,325,478,514
8/3/1996 2:00:00 PM,485,493,515
11/14/1996 1:00:00 PM,352,507,516
1/18/1997 1:00:00 PM,329,457,517
8/4/1996 2:00:00 PM,462,452,518
11/15/1996 1:00:00 PM,351,515,519
8/5/1996 2:00:00 PM,431,490,520
11/16/1996 1:00:00 PM,371,470,521
8/6/1996 2:00:00 PM,482,535,522
11/17/1996 1:00:00 PM,345,441,523
8/7/1996 2:00:00 PM,446,521,524
11/18/1996 1:00:00 PM,414,611,525
8/8/1996 2:00:00 PM,457,562,526
11/19/1996 1:00:00 PM,365,515,527
8/9/1996 2:00:00 PM,450,537,528
11/20/1996 1:00:00 PM,364,517,529
8/10/1996 2:00:00 PM,495,497,530
11/21/1996 1:00:00 PM,409,536,531
8/11/1996 2:00:00 PM,454,435,532
11/22/1996 1:00:00 PM,418,563,533
8/12/1996 2:00:00 PM,417,475,534
11/23/1996 1:00:00 PM,417,486,535
8/13/1996 2:00:00 PM,381,483,536
11/24/1996 1:00:00 PM,349,454,537
8/14/1996 2:00:00 PM,405,529,538
11/25/1996 1:00:00 PM,383,486,539
8/15/1996 2:00:00 PM,378,491,540
11/26/1996 1:00:00 PM,323,493,541
8/16/1996 2:00:00 PM,375,482,542
11/27/1996 1:00:00 PM,356,496,543
8/17/1996 2:00:00 PM,408,439,544
11/28/1996 1:00:00 PM,356,507,545
8/18/1996 2:00:00 PM,524,492,546
11/29/1996 1:00:00 PM,361,503,547
8/19/1996 2:00:00 PM,468,577,548
8/20/1996 2:00:00 PM,436,528,549
8/21/1996 2:00:00 PM,464,492,550
5/14/1996 2:00:00 PM,420,478,551
5/15/1996 2:00:00 PM,411,469,552
5/16/1996 2:00:00 PM,399,458,553
5/17/1996 2:00:00 PM,412,459,554
5/18/1996 2:00:00 PM,407,427,555
5/19/1996 2:00:00 PM,399,402,556
5/20/1996 2:00:00 PM,433,455,557
5/21/1996 2:00:00 PM,387,451,558
5/22/1996 2:00:00 PM,420,481,559
5/23/1996 2:00:00 PM,353,482,560
5/24/1996 2:00:00 PM,384,475,561
5/25/1996 2:00:00 PM,377,426,562
5/26/1996 2:00:00 PM,352,401,563
5/27/1996 2:00:00 PM,393,418,564
5/28/1996 2:00:00 PM,358,488,565
1/19/1997 1:00:00 PM,302,419,566
5/29/1996 2:00:00 PM,374,465,567
5/30/1996 2:00:00 PM,357,474,568
5/31/1996 2:00:00 PM,376,468,569
6/1/1996 2:00:00 PM,382,421,570
6/2/1996 2:00:00 PM,382,398,571
6/3/1996 2:00:00 PM,406,472,572
6/4/1996 2:00:00 PM,393,478,573
6/5/1996 2:00:00 PM,381,461,574
6/6/1996 2:00:00 PM,382,454,575
6/7/1996 2:00:00 PM,376,479,576
6/8/1996 2:00:00 PM,358,416,577
6/9/1996 2:00:00 PM,328,372,578
6/10/1996 2:00:00 PM,358,388,579
