recorddate,COD_mg.L-1,BOD_mg.L-1,Ammonia_mg.L-1,Total_KjeldahlNitrogen_mg.L-1,Nitrogentotal_mg.L-1,NitrateplusNitrite_mg.L-1,ObjectId
3/30/2015 1:00:00 PM,24,NULL,0.08,1.8,NULL,NULL,199
3/30/2015 8:00:00 PM,NULL,3,0.10,1.6,16,15,200
5/19/2014 2:00:00 PM,24,NULL,0.10,4.3,NULL,NULL,201
7/24/2014 2:00:00 PM,32,NULL,0.07,2.4,NULL,NULL,202
7/24/2014 9:00:00 PM,NULL,2,0.10,1.1,13,12,203
7/27/2014 2:00:00 PM,25,NULL,0.06,1.7,NULL,NULL,204
7/28/2014 2:00:00 PM,27,NULL,0.05,1.4,NULL,NULL,205
7/29/2014 2:00:00 PM,19,NULL,0.05,1.6,NULL,NULL,206
7/30/2014 2:00:00 PM,24,NULL,0.04,1.6,NULL,NULL,207
7/30/2014 9:00:00 PM,NULL,2,0.60,NULL,NULL,NULL,208
7/31/2014 2:00:00 PM,25,NULL,0.06,1.3,NULL,NULL,209
8/3/2014 2:00:00 PM,20,NULL,0.07,2.5,NULL,NULL,210
8/4/2014 2:00:00 PM,20,NULL,0.06,1.2,NULL,NULL,211
8/5/2014 2:00:00 PM,20,NULL,0.09,1.5,NULL,NULL,212
8/5/2014 9:00:00 PM,NULL,3,0.20,1.1,16,15,213
8/6/2014 2:00:00 PM,28,NULL,0.06,1.5,NULL,NULL,214
8/7/2014 2:00:00 PM,28,NULL,0.09,1.8,NULL,NULL,215
8/8/2014 2:00:00 PM,22,NULL,0.05,2.7,NULL,NULL,216
8/10/2014 2:00:00 PM,22,NULL,0.10,1.6,NULL,NULL,217
8/11/2014 2:00:00 PM,21,NULL,0.07,1.7,NULL,NULL,218
8/11/2014 9:00:00 PM,NULL,3,0.10,NULL,NULL,NULL,219
8/12/2014 2:00:00 PM,22,NULL,0.09,1.2,NULL,NULL,220
8/13/2014 2:00:00 PM,25,NULL,0.06,1.7,NULL,NULL,221
8/14/2014 2:00:00 PM,27,NULL,0.09,1.8,NULL,NULL,222
8/17/2014 2:00:00 PM,30,NULL,0.10,2.0,NULL,NULL,223
8/17/2014 9:00:00 PM,NULL,2,0.20,1.3,17,16,224
8/18/2014 2:00:00 PM,34,NULL,0.20,1.3,NULL,NULL,225
8/19/2014 2:00:00 PM,28,NULL,0.15,3.0,NULL,NULL,226
8/20/2014 2:00:00 PM,32,NULL,0.18,4.0,NULL,NULL,227
8/21/2014 2:00:00 PM,28,NULL,0.10,1.8,NULL,NULL,228
8/24/2014 2:00:00 PM,23,NULL,0.13,2.5,NULL,NULL,229
8/25/2014 2:00:00 PM,20,NULL,0.09,1.4,NULL,NULL,230
8/25/2014 9:00:00 PM,NULL,2,0.10,NULL,NULL,NULL,231
8/26/2014 2:00:00 PM,24,NULL,0.16,1.4,NULL,NULL,232
8/27/2014 2:00:00 PM,30,NULL,0.20,2.0,NULL,NULL,233
8/28/2014 2:00:00 PM,32,NULL,0.10,2.3,NULL,NULL,234
8/31/2014 2:00:00 PM,24,NULL,0.15,4.0,NULL,NULL,235
9/1/2014 2:00:00 PM,24,NULL,0.16,3.5,NULL,NULL,236
9/2/2014 2:00:00 PM,25,NULL,0.16,3.0,NULL,NULL,237
9/2/2014 9:00:00 PM,NULL,2,0.10,1.1,16,15,238
9/3/2014 2:00:00 PM,33,NULL,0.25,2.0,NULL,NULL,239
9/4/2014 2:00:00 PM,27,NULL,0.10,2.6,NULL,NULL,240
9/7/2014 2:00:00 PM,20,NULL,0.09,3.4,NULL,NULL,241
9/8/2014 2:00:00 PM,21,NULL,0.06,5.0,NULL,NULL,242
9/9/2014 2:00:00 PM,21,NULL,0.11,3.2,NULL,NULL,243
9/10/2014 2:00:00 PM,30,NULL,0.30,5.3,NULL,NULL,244
9/10/2014 9:00:00 PM,NULL,2,0.30,NULL,NULL,NULL,245
9/11/2014 2:00:00 PM,21,NULL,0.28,5.7,NULL,NULL,246
9/14/2014 2:00:00 PM,18,NULL,0.06,2.3,NULL,NULL,247
9/15/2014 2:00:00 PM,21,NULL,0.07,2.6,NULL,NULL,248
9/16/2014 2:00:00 PM,27,NULL,0.08,1.8,NULL,NULL,249
9/18/2014 9:00:00 PM,NULL,2,0.10,2.3,13,11,250
9/24/2014 9:00:00 PM,NULL,5,0.70,NULL,NULL,NULL,251
