Date [YYYY-MM-DD],Digester 1 7d avg VS loading rate [kgVS/m3-d],Digester 2 7d avg VS loading rate [kgVS/m3-d]
2022-11-06,1.8282731089443167,1.8226322996534854
2022-11-07,1.964902596473038,1.9570798922566326
2022-11-08,1.970373236770211,1.958480925111108
2022-11-09,2.0967183716666247,2.0978022408960126
2022-11-10,1.9921069981671273,1.9893875437229824
2022-11-11,1.750776004694439,1.7397224766857808
2022-11-12,1.713555657015318,1.70250212900666
2022-11-13,1.7648198828966366,1.7537663548879787
2022-11-14,1.63223890502269,1.6158393760937937
2022-11-15,1.2531125642752916,1.246354831504928
2022-11-16,0.9799632880220699,0.9810931932350729
2022-11-17,0.9472375939543681,0.952703204964313
2022-11-18,1.258157064724022,1.2620397481287253
2022-11-19,1.2737016794800657,1.277584362884769
2022-11-20,1.2988910570273187,1.3027737404320219
2022-11-21,1.402439335535137,1.4188663700560713
2022-11-22,1.7249349778541594,1.7397768214337523
2022-11-23,1.8039647300890482,1.8062640929439184
2022-11-24,1.5949026102584523,1.5953317318778115
2022-11-25,1.2850767160646228,1.2870887652892233
2022-11-26,1.2183625019107767,1.2203745511353774
2022-11-27,1.1908457369789083,1.1928577862035092
2022-11-28,0.9588706189813866,0.951944253844987
2022-11-29,1.0663168051075134,1.0715970514551239
2022-11-30,1.1081967561954553,1.1264829723056438
2022-12-01,1.2747809765961975,1.2932460759752311
2022-12-02,1.584493838345088,1.6082751790263408
2022-12-03,1.6328101521340987,1.6565914928153518
2022-12-04,1.625382125408824,1.649163466090077
2022-12-05,1.8073601911713268,1.83152211906164
2022-12-06,1.7358145066853876,1.7491390480750522
2022-12-07,1.875266456205129,1.8825076678124533
2022-12-08,1.8530237163147074,1.8614653960457324
2022-12-09,1.9650420707851246,1.9537425033950953
2022-12-10,1.9931794277653445,1.9818798603753152
2022-12-11,2.011352183747762,2.0000526163577326
2022-12-12,2.0553497170614032,2.0430321295935423
2022-12-13,2.0650062391661277,2.047627889159147
2022-12-14,2.0134148514464503,1.9942225997359677
2022-12-15,2.1041833336064424,2.0847141766177333
2022-12-16,1.913733562506113,1.9196201026631177
2022-12-17,1.8932276129676513,1.8991141531246563
2022-12-18,1.8925866548621568,1.8984731950191616
2022-12-19,1.9115241756776256,1.9304781998300673
2022-12-20,1.873931052903055,1.9026260947804616
2022-12-21,1.59135339167136,1.6202771201440247
2022-12-22,1.5702502878262838,1.5904849833385515
2022-12-23,1.3401707575380752,1.3494747617234635
2022-12-24,1.3465999667688444,1.3559039709542327
2022-12-25,1.344516509999614,1.3538205141850022
2022-12-26,1.0881836938618474,1.0850576469205702
2022-12-27,1.260392917263501,1.2573730117123232
2022-12-28,1.645007408725938,1.6395565910454903
2022-12-29,1.8887142518191453,1.8805431630292067
2022-12-30,2.007232466205959,1.9990613774160195
2022-12-31,2.021729811682882,2.0135587228929426
