Collected date,Month,Total phosphorus [ug/L],Collection site
2024-04-15,Apr,12.9,12000201002
2024-07-08,Jul,6.2,8012305802
2024-06-18,Jun,60.3,8002202402
2024-10-07,Oct,614.0,8002202402
2024-10-15,Oct,37.1,16010900702
2024-05-13,May,33.8,4001306402
2024-05-13,May,35.8,4001304402
2024-05-13,May,61.6,4001301602
2024-04-09,Apr,11.5,8012305802
2024-11-09,Nov,33.0,3013303002
2024-10-17,Oct,12.7,16018401002
2024-09-09,Sep,36.5,16015900302
2024-07-24,Jul,132.0,3005703202
2024-08-26,Aug,7.7,3004700102
2024-07-15,Jul,117.0,4001301602
2024-07-15,Jul,455.0,4001304102
2024-03-07,Mar,18.2,8012305102
2024-09-17,Sep,70.3,8002202402
2024-06-08,Jun,11.4,8012300202
2024-06-08,Jun,109.0,8010300102
2024-06-08,Jun,33.5,8010700502
2024-11-25,Nov,0.2,3005400102
2024-07-08,Jul,8.8,8012305002
2024-11-25,Nov,0.3,3005702502
2024-10-12,Oct,428.0,8002202402
2024-01-05,Jan,23.6,3005702502
2024-01-05,Jan,61.8,3005703402
2024-06-18,Jun,70.8,4001308302
2024-06-19,Jun,83.6,4001311002
2024-09-16,Sep,149.0,4001301602
2024-09-17,Sep,94.5,4001304702
2024-08-19,Aug,9.4,8013500602
2024-04-15,Apr,19.7,6018000302
2024-04-15,Apr,10.5,6018000202
2024-01-05,Jan,66.3,3005703702
2024-01-05,Jan,46.4,3005703302
2024-06-18,Jun,66.2,4001305802
2024-03-18,Mar,25.9,8013500602
2024-01-05,Jan,17.2,3005400102
2024-01-05,Jan,17.1,3005300102
2024-08-08,Aug,25.8,8012304802
2024-07-08,Jul,28.9,8012304402
2024-08-08,Aug,5.3,8012305302
2024-05-21,May,188.0,4001308302
2024-01-05,Jan,24.0,3005703602
2024-04-15,Apr,10.6,12000400802
2024-04-15,Apr,20.5,6018300202
2024-04-15,Apr,31.9,12000200402
2024-09-12,Sep,21.7,16018410102
2024-09-12,Sep,21.4,16018401202
2024-09-12,Sep,37.0,16018401602
2024-09-12,Sep,33.8,16018403702
2024-11-19,Nov,26.0,8002201902
2024-11-19,Nov,10.7,8002201002
2024-11-19,Nov,2.3,8004000802
2024-11-19,Nov,69.2,8002202402
2024-10-12,Oct,16.0,16018403502
2024-12-04,Dec,537.0,8002202402
2024-07-15,Jul,10.8,3001700202
2024-07-15,Jul,31.5,8013500502
2024-07-10,Jul,6.5,3007600402
2024-07-10,Jul,9.0,3007701302
2024-01-05,Jan,12.1,3004700102
2024-08-19,Aug,217.0,4001309002
2024-08-19,Aug,142.0,4001309202
2024-08-19,Aug,71.7,4001301602
2024-08-20,Aug,75.9,4001308602
2024-09-12,Sep,602.0,8002202402
2024-05-21,May,64.0,16006300202
2024-08-19,Aug,156.0,4001301702
2024-08-19,Aug,95.8,4001304102
2024-11-20,Nov,1.1,16018410602
2024-07-08,Jul,28.7,8012305902
2024-11-20,Nov,3.2,16018403502
2024-07-08,Jul,20.8,8012305102
2024-07-15,Jul,28.0,3001500202
2024-07-15,Jul,9.2,8013500602
2024-07-15,Jul,32.6,3003000202
2024-11-25,Nov,0.2,3005702102
2024-06-08,Jun,56.7,8012305602
2024-11-25,Nov,20.7,3005703602
2024-11-13,Nov,48.2,16018405102
2024-11-13,Nov,14.1,16018410302
2024-11-13,Nov,15.1,16018402902
2024-05-11,May,14.4,8012304402
2024-05-11,May,4.7,8012305002
2024-11-13,Nov,50.2,16018401602
2024-11-13,Nov,25.4,16018410102
2024-05-11,May,10.0,8012305902
2024-05-11,May,3.0,8012305802
2024-11-13,Nov,23.7,16018407402
2024-08-19,Aug,198.0,4001309502
2024-08-19,Aug,223.0,4001309402
2024-08-19,Aug,136.0,4001304202
