Collected date [YYYY-MM-DD],Month,Iron [ug/L],Collection site
2024-03-04,Mar,215.0,9000902402
2024-09-07,Sep,99.2,8005603902
2024-09-07,Sep,34.0,8005600102
2024-09-07,Sep,54.5,8005600902
2024-06-19,Jun,67.0,6007601702
2024-09-23,Sep,658.0,13001100102
2024-05-28,May,153.0,17002113302
2024-02-04,Feb,134.0,17002114002
2024-06-03,Jun,97.4,6006000702
2024-05-16,May,268.0,13000800102
2024-05-16,May,206.0,13001100202
2024-06-17,Jun,158.0,4001306402
2024-08-14,Aug,348.0,13000800102
2024-06-19,Jun,178.0,6007600602
2024-10-22,Oct,217.0,3005703102
2024-08-05,Aug,188.0,6006301202
2024-07-15,Jul,220.0,4001306402
2024-07-15,Jul,1040.0,4001301702
2024-10-23,Oct,73.3,6007601602
2024-10-23,Oct,44.1,6007601702
2024-10-23,Oct,16.3,6006800102
2024-10-23,Oct,718.0,6007600502
2024-06-24,Jun,249.0,17002113302
2024-06-24,Jun,239.0,17002115702
2024-08-14,Aug,1180.0,13000300102
2024-09-16,Sep,1150.0,13000300102
2024-09-16,Sep,94.1,13001100202
2024-08-14,Aug,86.2,13001100202
2024-02-04,Feb,89.2,17002103802
2024-06-19,Jun,79.1,6007605102
2024-07-23,Jul,344.0,6005000202
2024-06-19,Jun,205.0,6007602302
2024-06-19,Jun,39.7,6007601502
2024-03-04,Mar,287.0,6005900102
2024-10-22,Oct,59.2,3005702802
2024-10-21,Oct,79.2,3005703002
2024-10-21,Oct,242.0,3005702502
2024-10-21,Oct,42.1,3005300102
2024-07-23,Jul,92.9,9000100502
2024-07-23,Jul,258.0,9000800502
2024-06-24,Jun,215.0,17002112802
2024-07-23,Jul,179.0,9000100402
2024-07-23,Jul,431.0,9000800702
2024-04-22,Apr,94.5,17002114502
2024-04-22,Apr,57.3,17002109502
2024-08-10,Aug,35.1,17002100802
2024-08-10,Aug,90.1,17002114002
2024-08-10,Aug,66.0,17002107702
2024-08-13,Aug,52.6,8005603902
2024-07-18,Jul,815.0,13001100102
2024-08-10,Aug,56.8,17002105202
2024-03-09,Mar,16.1,3007701302
2024-04-06,Apr,33.4,3007701302
2024-07-10,Jul,342.0,3007000402
2024-07-10,Jul,175.0,3007300202
2024-06-24,Jun,70.5,17002111802
2024-06-24,Jun,37.4,17002105702
2024-06-03,Jun,82.8,9000902402
2024-05-22,May,119.0,6007605102
2024-02-07,Feb,201.0,3007000402
2024-02-07,Feb,109.0,3007000302
2024-03-09,Mar,126.0,3006600102
2024-03-09,Mar,161.0,3007000502
2024-03-09,Mar,188.0,3007300302
2024-04-06,Apr,78.4,3007500202
2024-06-08,Jun,175.0,3007000502
2024-06-08,Jun,93.1,3007500202
2024-06-08,Jun,85.9,3007600402
2024-06-08,Jun,99.9,3007600302
2024-06-08,Jun,96.6,3007600602
2024-06-08,Jun,30.6,3007701302
2024-07-10,Jul,62.8,3007600302
