Station name,Station number,Total samples (PWQO analytes),% total exceedances (PWQO analytes),Risk tier,N Aluminum [ug/L],% exceed Aluminum,N Arsenic [ug/L],% exceed Arsenic,N Boron [ug/L],% exceed Boron,N Cadmium [ug/L],% exceed Cadmium,N Chromium [ug/L],% exceed Chromium,N Copper [ug/L],% exceed Copper,N E. coli [MPN / 100mL],% exceed E. coli,N Iron [ug/L],% exceed Iron,N Lead [ug/L],% exceed Lead,N Mercury [ng/L],% exceed Mercury,N Nickel [ug/L],% exceed Nickel,N Total Phosphorus [ug/L],% exceed Total Phosphorus,N Selenium [ug/L],% exceed Selenium,N Silver [ug/L],% exceed Silver,N Zinc [ug/L],% exceed Zinc,N pH [SU],% exceed pH,station_padded_id,Station name matched
Thames River,04001308202,77,25.97,Tier 3,7,85.71,0,,0,,7,0.0,7,14.29,7,14.29,0,,7,57.14,7,0.0,0,,7,0.0,7,85.71,0,,6,0.0,7,14.29,8,12.5,04001308202,True
Kaministiquia River,01010800102,93,25.81,Tier 3,8,100.0,1,0.0,1,0.0,8,0.0,8,12.5,8,0.0,0,,8,75.0,8,0.0,0,,8,0.0,9,100.0,1,0.0,8,0.0,8,0.0,9,0.0,01010800102,True
East Oakville Creek,06006301102,78,25.64,Tier 3,7,100.0,0,,0,,7,0.0,6,33.33,7,0.0,0,,7,42.86,7,0.0,0,,7,0.0,8,75.0,0,,7,0.0,7,0.0,8,25.0,06006301102,True
Delisle River,12008600202,78,25.64,Tier 3,7,100.0,0,,0,,7,42.86,7,0.0,7,0.0,0,,7,14.29,7,0.0,0,,7,0.0,8,75.0,0,,6,0.0,7,42.86,8,0.0,12008600202,True
Sydenham River,04002701702,82,25.61,Tier 3,7,100.0,0,,0,,7,0.0,6,0.0,7,0.0,0,,7,42.86,7,0.0,0,,7,0.0,10,100.0,0,,7,0.0,7,14.29,10,0.0,04002701702,True
Twenty Mile Creek,06002400902,83,25.3,Tier 3,7,85.71,0,,0,,7,14.29,7,0.0,7,0.0,0,,7,57.14,7,0.0,0,,7,0.0,10,100.0,0,,7,0.0,7,0.0,10,0.0,06002400902,True
Black Creek,05000600202,83,25.3,Tier 3,7,100.0,0,,0,,7,0.0,7,14.29,7,0.0,0,,7,42.86,7,0.0,0,,7,0.0,10,100.0,0,,7,0.0,7,0.0,10,0.0,05000600202,True
Nottawasaga River,03005702902,16,25.0,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,8,50.0,0,,0,,0,,8,0.0,03005702902,True
Nottawasaga River,03005702902,16,25.0,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,8,50.0,0,,0,,0,,8,0.0,03005702902,True
Laurel Creek,16018413002,16,25.0,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,8,12.5,0,,0,,0,,8,37.5,16018413002,True
