Station number,Station name,Risk tier (original),Risk tier (clean),LATITUDE,LONGITUDE
03004700102,Silver Creek,Tier 2,Tier 2,44.51964864,-80.27705848
04001305702,White Ash Creek,Tier 2,Tier 2,42.54024949,-81.96321847
03005703302,Mcintyre Creek,Tier 2,Tier 2,44.46733464,-80.04783873
03005701002,Pine River,Tier 2,Tier 2,44.31854764,-79.88647448
06010800102,Lynde Creek,Tier 2,Tier 2,43.85667164,-78.96067786
06010400802,Mitchell Creek,Tier 2,Tier 2,43.96144701,-79.12565398
16018401502,Grand River,Tier 2,Tier 2,43.48180126,-80.48175198
17002113802,Stoney Creek,Tier 2,Tier 2,44.77755439,-78.29348848
16012401102,Big Creek,Tier 2,Tier 2,42.68582701,-80.53842473
03013304002,South River,Tier 2,Tier 2,46.104045,-79.525517
06007602202,Silver Creek,Tier 2,Tier 2,43.63747426,-79.88616561
16018410102,Speed River,Tier 2,Tier 2,43.39966714,-80.36561198
06011800102,Graham Creek,Tier 2,Tier 2,43.90606064,-78.58288086
16018407402,Nith River,Tier 2,Tier 2,43.48413451,-80.83528511
16015901002,Kent Creek,Tier 2,Tier 2,42.83520639,-80.36721761
18343003402,Mississippi River,Tier 2,Tier 2,45.33561552,-76.28698885
06017200102,Black River,Tier 2,Tier 2,43.93569101,-77.09041548
06012900202,Ganaraska River,Tier 2,Tier 2,44.01504376,-78.43750386
06012900502,Ganaraska River,Tier 2,Tier 2,43.99061964,-78.32816023
04001309702,Waubuno Creek,Tier 2,Tier 2,42.99450364,-81.11663423
03007702802,Lovers Creek,Tier 2,Tier 2,44.37225239,-79.65129523
03007700202,Holland River,Tier 2,Tier 2,44.11323614,-79.54583973
01010700402,Neebing River,Tier 2,Tier 2,48.38338889,-89.30655556
06001701102,Twelve Mile Creek,Tier 2,Tier 2,43.08730964,-79.29167323
06007601702,Credit River,Tier 2,Tier 2,43.62214889,-79.73326498
06007605202,East Credit River,Tier 2,Tier 2,43.80982126,-79.92764911
06007600302,Credit River,Tier 2,Tier 2,43.64721276,-79.85627811
16018401002,Grand River,Tier 2,Tier 2,43.27897714,-80.34338873
18207015002,South Natiom River,Tier 2,Tier 2,44.77975064,-75.58635535
04001306302,Komoka Creek,Tier 2,Tier 2,42.93796101,-81.44090948
06011700202,Orono Creek,Tier 2,Tier 2,43.95709651,-78.61934198
17002601302,Moira River,Tier 2,Tier 2,44.49961189,-77.61789323
17002104602,Cold Creek,Tier 2,Tier 2,44.20104264,-77.59569585
03007000502,Wye River,Tier 2,Tier 2,44.57712664,-79.86026898
16018403702,Grand River,Tier 2,Tier 2,43.72484376,-80.34398648
03007300202,Hog Creek,Tier 2,Tier 2,44.72605614,-79.77889261
03007600502,North River,Tier 2,Tier 2,44.76757014,-79.57837298
09000800702,Spencer Creek,Tier 2,Tier 2,43.35303464,-80.07794948
18003303402,Rideau River,Tier 2,Tier 2,45.43743002,-75.67854073
08005603902,Middle Maitland River,Tier 2,Tier 2,43.84005139,-81.32055223
17002113602,Nonquon River,Tier 2,Tier 2,44.20022689,-78.94943136
17002113702,Blackstock Creek,Tier 2,Tier 2,44.13187564,-78.82887773
06008310402,Centreville Creek,Tier 2,Tier 2,43.92418126,-79.83452048
17002601101,Moira River,Tier 2,Tier 2,44.47835814,-77.4681561
08013500502,Sauble River,Tier 2,Tier 2,44.53529476,-81.17765936
18003303602,Jock River,Tier 2,Tier 2,45.24920927,-75.7908066
06007600802,Black Creek,Tier 2,Tier 2,43.62923289,-80.01039811
16018409002,Grand River,Tier 2,Tier 2,43.96723276,-80.35494861
17002114502,Crowe River,Tier 2,Tier 2,44.83937339,-77.92419136
19006401420,Mattagami River,Tier 2,Tier 2,48.47479377,-81.35320186
18369001002,Bonnechere River,Tier 2,Tier 2,45.51443139,-76.5567031
16018401202,Grand River,Tier 2,Tier 2,43.38660089,-80.38680186
06011700302,Wilmot Creek,Tier 2,Tier 2,43.91289539,-78.60870623
17002602302,Moira River,Tier 2,Tier 2,44.50971114,-77.39071673
16018409902,Speed River,Tier 2,Tier 2,43.63993089,-80.27013211
16018413102,Mill (Galt) Creek,Tier 2,Tier 2,43.41307976,-80.22686573
17002103802,Jackson Creek,Tier 2,Tier 2,44.29952301,-78.32066986
16018411702,Schneider Creek,Tier 2,Tier 2,43.39380814,-80.41611723
17002115602,Trout Creek,Tier 2,Tier 2,44.30642912,-77.80669989
12001700102,Gananoque River,Tier 2,Tier 2,44.32849739,-76.16688548
12000201002,Little Cataraqui Creek,Tier 2,Tier 2,44.24082777,-76.5790854
18003300302,Kemptville Creek,Tier 2,Tier 2,45.02735664,-75.64159073
17002108602,Crowe River,Tier 2,Tier 2,44.77074214,-77.88164948
03007703802,Black River,Tier 2,Tier 2,44.30473701,-79.36042573
18000017002,Ottawa River,Tier 2,Tier 2,45.47494827,-76.23814385
06007601802,Credit River,Tier 2,Tier 2,43.85620614,-80.04821261
06001700102,Twelve Mile Creek,Tier 2,Tier 2,43.20139039,-79.26580248
19004300502,Attawapiskat River,Tier 2,Tier 2,52.93184547,-83.36832454
19004400102,Muketei River,Tier 2,Tier 2,52.87673516,-86.23956477
19004000102,Ekwan River,Tier 2,Tier 2,53.80596723,-84.92189824
06013300502,Cobourg Creek West,Tier 2,Tier 2,43.98844226,-78.21093061
16018403602,Speed River,Tier 2,Tier 2,43.48425339,-80.28215011
03005700702,Boyne River,Tier 2,Tier 2,44.16306064,-79.82948636
03005700702,Boyne River,Tier 2,Tier 2,44.16306064,-79.82948636
03005700702,Boyne River,Tier 2,Tier 2,44.16306064,-79.82948636
03005700702,Boyne River,Tier 2,Tier 2,44.16306064,-79.82948636
03007000302,Wye River,Tier 2,Tier 2,44.73194951,-79.84641461
01010700202,Neebing River,Tier 2,Tier 2,48.38122752,-89.35788387
01010500102,Mc Vicar Creek,Tier 2,Tier 2,48.43965452,-89.21410974
03013400102,Wanapitei River,Tier 2,Tier 2,46.39508052,-80.80042673
08004000802,Bayfield River,Tier 2,Tier 2,43.55071776,-81.58937173
06007601002,Credit River,Tier 2,Tier 2,43.72381351,-79.93099773
06013000102,Gage Creek,Tier 2,Tier 2,43.95566151,-78.26639348
13001100202,Root River,Tier 2,Tier 2,46.57238489,-84.32113511
18607008002,Amable Du Fond River,Tier 2,Tier 2,46.28699,-78.904388
06011100302,Oshawa Creek West,Tier 2,Tier 2,43.94620801,-78.90366111
06011600602,Bowmanville Creek,Tier 2,Tier 2,44.04234326,-78.73804536
03005400102,Batteaux River,Tier 2,Tier 2,44.48831889,-80.16709086
17002600902,Skootamotta River,Tier 2,Tier 2,44.549236,-77.328304
18343003002,Mississippi River,Tier 2,Tier 2,45.42325002,-76.25246835
08012303002,Saugeen River,Tier 2,Tier 2,44.45609726,-81.32603473
12008601102,Garry River,Tier 2,Tier 2,45.31270786,-74.6322657
16015900302,Lynn River,Tier 2,Tier 2,42.82338026,-80.28892861
03007300302,Hog Creek,Tier 2,Tier 2,44.68728901,-79.79179673
08012305102,South Saugeen River,Tier 2,Tier 2,44.09852564,-80.98513248
16018403402,Speed River,Tier 2,Tier 2,43.53362114,-80.25301686
03013401802,East Wanapitei River,Tier 2,Tier 2,46.90332939,-80.83870886
08012304402,Teeswater River,Tier 2,Tier 2,44.15257389,-81.28636711
08012305002,Beatty Saugeen River,Tier 2,Tier 2,44.13098289,-80.96736536
17002114302,Ouse River East,Tier 2,Tier 2,44.32723726,-78.04176698
17000800102,Picton Creek,Tier 2,Tier 2,44.00473451,-77.12621173
17002113302,Cold Creek,Tier 2,Tier 2,44.13468464,-77.78685773
17002111902,Mariposa Brook,Tier 2,Tier 2,44.28545426,-78.82008948
13001101002,Coldwater Creek,Tier 2,Tier 2,46.56565402,-84.27771561
06011200302,Farewell Creek,Tier 2,Tier 2,43.88073326,-78.82148323
06011100802,Oshawa Creek,Tier 2,Tier 2,43.86819778,-78.84614457
08005600202,Blyth Brook,Tier 2,Tier 2,43.74886951,-81.44591686
18343000202,Indian River,Tier 2,Tier 2,45.24535502,-76.26013148
03005300102,Pretty River,Tier 2,Tier 2,44.50308626,-80.19772461
03005300102,Pretty River,Tier 2,Tier 2,44.50308626,-80.19772461
03005300102,Pretty River,Tier 2,Tier 2,44.50308626,-80.19772461
03005300102,Pretty River,Tier 2,Tier 2,44.50308626,-80.19772461
17002601202,Deer Creek,Tier 2,Tier 2,44.49953864,-77.4733066
16018402702,Grand River,Tier 2,Tier 2,43.10974339,-80.24491061
03003000202,Bighead River,Tier 2,Tier 2,44.56987776,-80.64850398
08013500302,Sauble River,Tier 2,Tier 2,44.67718051,-81.25546136
08005600302,Maitland River,Tier 2,Tier 2,43.89549764,-81.35349723
03001700202,Telfer Creek,Tier 2,Tier 2,44.62385189,-80.87577098
18607002002,Mattawa River,Tier 2,Tier 2,46.318781,-78.706637
06007605102,Shaw'S Creek,Tier 2,Tier 2,43.85975964,-80.05739011
17002115702,Percy Creek,Tier 2,Tier 2,44.2244205,-77.83929756
17003700302,Wilton Creek,Tier 2,Tier 2,44.23924551,-76.8491376
17002107102,Salt Creek,Tier 2,Tier 2,44.19960864,-77.81872298
03007704002,Pefferlaw Brook,Tier 2,Tier 2,44.31673376,-79.20137861
03007704102,Beaverton River,Tier 2,Tier 2,44.43029614,-79.15510248
18003302602,Rideau River,Tier 2,Tier 2,44.88736514,-75.92729773
08005600102,Maitland River,Tier 2,Tier 2,43.75224276,-81.70049673
08007600102,Lucknow River,Tier 2,Tier 2,43.87649114,-81.70563998
08007600202,Lucknow River,Tier 2,Tier 2,43.95572514,-81.51721198
17002602502,Black River,Tier 2,Tier 2,44.5366404,-77.37033255
18003303502,Rideau River,Tier 2,Tier 2,44.95113552,-75.81947835
