Event,Plant,Microorganism,Influent_raw,Effluent_raw,Influent_used,Effluent_used,Effluent_detected_flag,LRV [log10]
Event 06,NoWe,Male-specific coliphage,385,0,385.0,1.0,Non-detect,2.5854607295085006
Event 07,NoWe,Male-specific coliphage,1060,0,1060.0,1.0,Non-detect,3.0253058652647704
Event 08,NoWe,Male-specific coliphage,1895,1,1895.0,1.0,Detected,3.277609214304091
Event 09,NoWe,Male-specific coliphage,985,0,985.0,1.0,Non-detect,2.9934362304976116
Event 10,NoWe,Male-specific coliphage,3650,0,3650.0,1.0,Non-detect,3.5622928644564746
Event 11,NoWe,Male-specific coliphage,2635,0,2635.0,1.0,Non-detect,3.4207806195485655
Event 12,NoWe,Male-specific coliphage,3250,0,3250.0,1.0,Non-detect,3.5118833609788744
Event 13,NoWe,Male-specific coliphage,7400,0,7400.0,1.0,Non-detect,3.8692317197309762
Event 14,NoWe,Male-specific coliphage,2035,0,2035.0,1.0,Non-detect,3.3085644135612386
Event 15,NoWe,Male-specific coliphage,1255,0.5,1255.0,0.5,Detected,3.399673721481038
Event 16,NoWe,Male-specific coliphage,1265,0,1265.0,1.0,Non-detect,3.1020905255118367
Event 01,BiSp,Somatic coliphage,1300,66,1300.0,66.0,Detected,1.2943994167649682
Event 02,BiSp,Somatic coliphage,1950,1,1950.0,1.0,Detected,3.290034611362518
Event 03,BiSp,Somatic coliphage,1040,0,1040.0,1.0,Non-detect,3.0170333392987803
Event 04,BiSp,Somatic coliphage,4200,0,4200.0,1.0,Non-detect,3.6232492903979003
Event 05,BiSp,Somatic coliphage,110,0,110.0,1.0,Non-detect,2.041392685158225
Event 06,BiSp,Somatic coliphage,3600,0,3600.0,1.0,Non-detect,3.5563025007672873
Event 09,BiSp,Somatic coliphage,1610,0,1610.0,1.0,Non-detect,3.2068258760318495
Event 10,BiSp,Somatic coliphage,1850,0,1850.0,1.0,Non-detect,3.2671717284030137
Event 12,BiSp,Somatic coliphage,4200,0,4200.0,1.0,Non-detect,3.6232492903979003
Event 13,BiSp,Somatic coliphage,7300,0,7300.0,1.0,Non-detect,3.863322860120456
Event 14,BiSp,Somatic coliphage,1865,0,1865.0,1.0,Non-detect,3.2706788361447066
Event 15,BiSp,Somatic coliphage,3300,0,3300.0,1.0,Non-detect,3.5185139398778875
Event 16,BiSp,Somatic coliphage,805,0,805.0,1.0,Non-detect,2.9057958803678687
Event 02,BrWo,Somatic coliphage,15150,0,15150.0,1.0,Non-detect,4.1804126328383235
Event 03,BrWo,Somatic coliphage,2690,0,2690.0,1.0,Non-detect,3.429752280002408
Event 04,BrWo,Somatic coliphage,225,0,225.0,1.0,Non-detect,2.3521825181113627
Event 05,BrWo,Somatic coliphage,940,0,940.0,1.0,Non-detect,2.9731278535996988
Event 06,BrWo,Somatic coliphage,495,0,495.0,1.0,Non-detect,2.694605198933569
Event 07,BrWo,Somatic coliphage,2095,210,2095.0,210.0,Detected,0.9989647325683948
Event 08,BrWo,Somatic coliphage,3065,0,3065.0,1.0,Non-detect,3.486430478854434
Event 09,BrWo,Somatic coliphage,1330,1,1330.0,1.0,Detected,3.123851640967086
Event 10,BrWo,Somatic coliphage,615,0,615.0,1.0,Non-detect,2.788875115775417
Event 11,BrWo,Somatic coliphage,595,0,595.0,1.0,Non-detect,2.7745169657285498
Event 12,BrWo,Somatic coliphage,1465,0,1465.0,1.0,Non-detect,3.1658376246901283
Event 13,BrWo,Somatic coliphage,705,0,705.0,1.0,Non-detect,2.848189116991399
Event 14,BrWo,Somatic coliphage,985,0,985.0,1.0,Non-detect,2.9934362304976116
Event 15,BrWo,Somatic coliphage,955,0,955.0,1.0,Non-detect,2.9800033715837464
Event 16,BrWo,Somatic coliphage,1250,0,1250.0,1.0,Non-detect,3.0969100130080562
Event 01,NoWe,Somatic coliphage,3050,0,3050.0,1.0,Non-detect,3.484299839346786
Event 02,NoWe,Somatic coliphage,615,0,615.0,1.0,Non-detect,2.788875115775417
Event 03,NoWe,Somatic coliphage,2150,2,2150.0,2.0,Detected,3.031408464251624
Event 04,NoWe,Somatic coliphage,355,0,355.0,1.0,Non-detect,2.550228353055094
Event 05,NoWe,Somatic coliphage,1195,1,1195.0,1.0,Detected,3.0773679052841567
Event 06,NoWe,Somatic coliphage,590,0,590.0,1.0,Non-detect,2.7708520116421442
Event 07,NoWe,Somatic coliphage,1520,1,1520.0,1.0,Detected,3.1818435879447726
Event 08,NoWe,Somatic coliphage,970,2,970.0,2.0,Detected,2.6857417386022635
Event 09,NoWe,Somatic coliphage,720,0,720.0,1.0,Non-detect,2.8573324964312685
Event 10,NoWe,Somatic coliphage,970,0,970.0,1.0,Non-detect,2.9867717342662448
Event 11,NoWe,Somatic coliphage,2695,0,2695.0,1.0,Non-detect,3.4305587695227575
Event 12,NoWe,Somatic coliphage,2450,0,2450.0,1.0,Non-detect,3.3891660843645326
Event 13,NoWe,Somatic coliphage,3650,0,3650.0,1.0,Non-detect,3.5622928644564746
Event 14,NoWe,Somatic coliphage,1395,0,1395.0,1.0,Non-detect,3.144574207609616
Event 15,NoWe,Somatic coliphage,3850,0,3850.0,1.0,Non-detect,3.5854607295085006
Event 16,NoWe,Somatic coliphage,3800,0.5,3800.0,0.5,Detected,3.8808135922807914
Event 02,BiSp,Total coliform,145000000,1553.1,145000000.0,1553.1,Detected,4.970168582533456
Event 04,BiSp,Total coliform,461100000,2419.6,461100000.0,2419.6,Detected,5.280051546384095
Event 05,BiSp,Total coliform,52000000,BDL,52000000.0,1.0,Non-detect,7.7160033436347994
Event 08,BiSp,Total coliform,47100000,574.8,47100000.0,574.8,Detected,4.913504147666708
Event 09,BiSp,Total coliform,114500000,238.2,114500000.0,238.2,Detected,5.681863729529148
Event 10,BiSp,Total coliform,9700000,3.1,9700000.0,3.1,Detected,6.495410040431972
