Plant,Event,Indicator_LRV [log10],Adenovirus_LRV [log10],Indicator
BrWo,Event 09,1.8703661421833202,2.929418925714293,Aerobic endospores
NoWe,Event 09,1.5740312677277188,4.671305108433146,Aerobic endospores
BiSp,Event 09,3.2937307569224816,2.0529360751877985,Aerobic endospores
BrWo,Event 10,1.146128035678238,3.230448921378274,Aerobic endospores
NoWe,Event 10,0.5992670911437923,1.7294872343016165,Aerobic endospores
BiSp,Event 10,0.8908555305749319,5.166726055580051,Aerobic endospores
BrWo,Event 11,1.21289390696343,2.9030899869919438,Aerobic endospores
NoWe,Event 11,1.4586378490256493,5.23578087032756,Aerobic endospores
BiSp,Event 11,0.9272528639577851,4.535452361794167,Aerobic endospores
BrWo,Event 12,1.1760912590556813,2.6989700043360187,Aerobic endospores
NoWe,Event 12,0.6912831756697279,6.0379574203562605,Aerobic endospores
BiSp,Event 12,1.1760912590556813,4.996453295316682,Aerobic endospores
NoWe,Event 13,1.154901959985743,5.213252052196396,Aerobic endospores
BiSp,Event 13,1.166331421766525,1.853871964321762,Aerobic endospores
BrWo,Event 14,1.146128035678238,2.8129133566428557,Aerobic endospores
NoWe,Event 14,0.8908555305749319,3.8670923337204246,Aerobic endospores
BiSp,Event 14,1.6734158998636306,3.0061603087048185,Aerobic endospores
BrWo,Event 15,1.3944516808262164,2.929418925714293,Aerobic endospores
NoWe,Event 15,1.0917703733556454,1.1521532515575923,Aerobic endospores
BiSp,Event 15,2.046300019652969,2.276206411938949,Aerobic endospores
BrWo,Event 16,1.159700842867512,3.8543060418010806,Aerobic endospores
NoWe,Event 16,0.4259687322722811,1.7383491950656749,Aerobic endospores
BiSp,Event 16,0.3979400086720376,2.6020599913279625,Aerobic endospores
